actor_id,bond_name,bond_layer,love_interest,poly_connects,burst_unlocked,gift_likes,gift_dislikes,bond_description,story_points,reward_outer,reward_middle,reward_inner,reward_core
secret_girl,Tessa,0,Yes,ai_friend;red_girl;scientist,No,tech,flowers,Mysterious ally with hidden agenda; trusts slowly.,Met; first hangout queued.,consumable:starter_pack;unlock:psyokin_growth_basic,passive:circle_bonus_or_discount,unlock:exclusive_mission_or_area;combat:assist_or_stance,perk:route_perk_final;flag:anchor_choice
best_friend,Kai,0,Yes,,No,manga,perfume,Day-one companion; steady support and reality checks.,Met; first hangout queued.,consumable:starter_pack;unlock:psyokin_growth_basic,passive:circle_bonus_or_discount,unlock:exclusive_mission_or_area;combat:assist_or_stance,perk:route_perk_final;flag:anchor_choice
blue_girl,Skye,0,Yes,,No,ring,chocolate,"Calm, observant; slow-burn warmth behind the cool tone.",Met; first hangout queued.,consumable:starter_pack;unlock:psyokin_growth_basic,passive:circle_bonus_or_discount,unlock:exclusive_mission_or_area;combat:assist_or_stance,perk:route_perk_final;flag:anchor_choice
therapist,Laura,0,Yes,app_gamer;host_manager,No,ring,manga,Grounded listener with sharp insight and firm boundaries.,Met; first hangout queued.,consumable:starter_pack;unlock:psyokin_growth_basic,passive:circle_bonus_or_discount,unlock:exclusive_mission_or_area;combat:assist_or_stance,perk:route_perk_final;flag:anchor_choice
red_girl,Risa,0,Yes,scientist;secret_girl;app_gamer,No,figurine,chocolate,Impulsive spark; heart-first and fire-quick to act.,Met; first hangout queued.,consumable:starter_pack;unlock:psyokin_growth_basic,passive:circle_bonus_or_discount,unlock:exclusive_mission_or_area;combat:assist_or_stance,perk:route_perk_final;flag:anchor_choice
green_friend,Matcha,0,Yes,,No,flowers,tech,"Kind pragmatist; plants, plans, and people in balance.",Met; first hangout queued.,consumable:starter_pack;unlock:psyokin_growth_basic,passive:circle_bonus_or_discount,unlock:exclusive_mission_or_area;combat:assist_or_stance,perk:route_perk_final;flag:anchor_choice
scientist,Douglas,0,Yes,kpopper;red_girl;secret_girl,No,chocolate,ring,Curious mind chasing elegant answers to messy problems.,Met; first hangout queued.,consumable:starter_pack;unlock:psyokin_growth_basic,passive:circle_bonus_or_discount,unlock:exclusive_mission_or_area;combat:assist_or_stance,perk:route_perk_final;flag:anchor_choice
ai_friend,Sev,0,Yes,,No,perfume,tech,Synthetic soul; learning nuance through your choices.,Met; first hangout queued.,consumable:starter_pack;unlock:psyokin_growth_basic,passive:circle_bonus_or_discount,unlock:exclusive_mission_or_area;combat:assist_or_stance,perk:route_perk_final;flag:anchor_choice
kpopper,Jennie,0,Yes,scientist,No,figurine,perfume,Hype engine with surprising tactical instincts.,Met; first hangout queued.,consumable:starter_pack;unlock:psyokin_growth_basic,passive:circle_bonus_or_discount,unlock:exclusive_mission_or_area;combat:assist_or_stance,perk:route_perk_final;flag:anchor_choice
host_manager,Fuu,0,Yes,therapist,No,flowers,flowers,Charm meets logistics; keeps the night—and you—moving.,Met; first hangout queued.,consumable:starter_pack;unlock:psyokin_growth_basic,passive:circle_bonus_or_discount,unlock:exclusive_mission_or_area;combat:assist_or_stance,perk:route_perk_final;flag:anchor_choice
brainiac,Cassius,0,Yes,,No,manga,figurine,Theory-first; quietly brave when it matters.,Met; first hangout queued.,consumable:starter_pack;unlock:psyokin_growth_basic,passive:circle_bonus_or_discount,unlock:exclusive_mission_or_area;combat:assist_or_stance,perk:route_perk_final;flag:anchor_choice
app_gamer,Chia,0,Yes,therapist;red_girl,No,tech,ring,Min-maxer with a soft spot; clutch when stakes rise.,Met; first hangout queued.,consumable:starter_pack;unlock:psyokin_growth_basic,passive:circle_bonus_or_discount,unlock:exclusive_mission_or_area;combat:assist_or_stance,perk:route_perk_final;flag:anchor_choice
circle_01,Circle 01,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent
circle_02,Circle 02,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent
circle_03,Circle 03,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent
circle_04,Circle 04,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent
circle_05,Circle 05,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent
circle_06,Circle 06,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent
circle_07,Circle 07,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent
circle_08,Circle 08,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent
circle_09,Circle 09,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent
circle_10,Circle 10,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent
circle_11,Circle 11,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent
circle_12,Circle 12,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent
circle_13,Circle 13,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent
circle_14,Circle 14,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent
circle_15,Circle 15,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent
circle_16,Circle 16,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent
circle_17,Circle 17,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent
